0,1,2,3,4,5,6
18.1,1622,0,7,280,349.721313477,53.8125
19.3,2476,0,7,280,349.542572021,55.5
20.2,1999,0,8,260,344.911590576,55.6875
20.1,2042,0,8,280,289.849975586,54.9375
19.3,1540,0,7,270,295.918914795,54
19.8,1723,0,8,260,298.739013672,54
19.3,1159,0,8,260,305.555236816,53.625
18.8,876,0,7,270,311.263549805,53.8125
18.3,394,0,7,280,295.169433594,53.625
17.5,121,0,7,270,307.519104004,53.0625
16.7,10,0,8,270,303.402374268,52.875
16,0,0,7,270,266.174743652,51.375
14.9,0,0,6,260,237.200332642,49.125
13.8,0,0.2,5,250,202.780670166,46.3125
13,0,0,5,240,181.041427612,44.0625
12.6,0,0.4,4,240,165.72265625,42.1875
12.3,0,0.2,4,240,156.869369507,40.875
10.6,0,5.4,4,240,170.09703064,40.125
11.5,12,0.6,3,230,204.599609375,40.125
11.6,64,0,3,210,282.878051758,41.625
12.4,183,0.2,3,240,317.157684326,44.25
13,507,0,4,250,325.189178467,47.625
14.4,1238,0,5,250,324.981536865,48.375
13.5,667,0,5,260,323.987640381,49.3125
13.3,778,0.2,5,270,334.07333374,50.4375
13.8,1274,0.4,4,240,333.088562012,51.9375
16.4,2191,0,5,250,332.579315186,52.125
17.1,1376,0,7,290,333.808319092,52.6875
18.8,2705,0,9,300,320.750671387,53.625
17.8,1691,0,10,310,309.741821289,53.25
17.7,1139,0,9,310,323.610870361,52.875
16.9,861,0,10,310,321.906829834,52.875
16.3,434,0,10,310,343.821166992,51.5625
15.2,85,0,9,310,351.049865723,52.3125
15.3,11,0,9,310,330.455749512,52.5
14.5,0,0,9,310,302.019866943,51.375
13.6,0,0,7,320,280.371185303,50.25
13.3,0,0,5,310,243.402954102,47.625
13.5,0,0,6,310,226.152603149,45
13.2,0,0,5,310,209.351379395,43.125
12.6,0,0,3,330,195.143539429,41.4375
12.1,0,0,4,340,198.275054932,40.6875
11.9,175,0,4,330,229.401397705,40.3125
12.9,332,0,4,320,288.951538086,41.25
13.6,597,0,5,320,312.827423096,44.0625
14.8,1033,0,5,330,291.821868896,44.8125
14.8,1073,0,5,330,292.836120605,46.875
16.2,876,0,5,320,311.263549805,47.8125
16.2,1957,0,6,330,302.50289917,48.9375
16.7,2350,0,6,330,308.415313721,49.6875
17.5,1644,0,5,310,312.526794434,50.8125
17.6,1870,0,5,320,306.444122314,51.5625
19.1,2193,0,4,320,277.670654297,52.125
19.9,2133,0,4,310,287.543029785,52.125
20.5,1155,0,3,340,289.836151123,52.125
19.5,1291,0,3,280,274.23348999,52.125
19.2,453,0,2,230,258.11819458,51
19,147,0,1,240,248.620193481,49.6875
17.6,8,0,2,190,234.061950684,48.375
16.2,0,0,2,180,219.317123413,46.875
15.3,0,0,2,170,232.596221924,46.125
14.2,0,0,1,190,205.496963501,44.4375
14,0,0,1,190,190.717071533,43.125
13.3,0,0,2,200,129.120101929,40.6875
13,0,0,2,200,128.844863892,39.375
12.9,1,0,2,220,125.283676147,38.8125
13.7,93,0,2,220,124.739730835,38.25
14.4,308,0,2,210,167.323043823,38.25
15.1,515,0,2,230,201.318161011,38.625
16.4,683,0,3,230,202.80039978,39.1875
18,1674,0,3,230,208.777389526,41.0625
20.1,2556,0,4,240,202.987686157,43.125
22,3010,0,5,230,210.608642578,43.125
22.6,2706,0,6,220,208.959320068,44.0625
22.9,2499,0,5,220,227.16734314,44.625
22.9,2375,0,5,230,211.255767822,45.5625
23.1,2191,0,6,220,200.808364868,45.5625
23.1,2021,0,7,220,216.923950195,45.9375
21.6,942,0,6,220,233.452346802,46.3125
20.6,493,0,5,230,217.018432617,46.3125
19.9,451,0,6,230,195.133285522,46.125
19,243,0,5,220,170.496337891,45
17.9,6,0,4,210,166.075286865,44.625
16.7,0,0,3,200,188.597457886,44.4375
15.9,0,0,3,200,197.311935425,44.25
15,0,0,3,220,167.69317627,43.125
14.2,0,0,2,220,140.431472778,42
