Air_temperature,Global_solar_radiation,Precipitation,Wind_speed,Wind_direction,Load_condition,Transformer_temperature
7.3,0.0,0.0,3.0,200.0,404.956115723,48.75
7.6,0.0,0.0,3.0,190.0,506.584777832,56.8125
9.9,0.0,0.0,4.0,220.0,341.698425293,51.9375
9.8,0.0,0.0,4.0,210.0,400.532836914,51.75
9.2,0.0,0.4,2.0,200.0,311.658874512,50.8125
9.3,0.0,0.2,1.0,190.0,261.692199707,48.5625
9.3,0.0,0.2,1.0,190.0,252.927398682,44.8125
9.4,0.0,0.0,1.0,230.0,288.305938721,44.0625
9.5,0.0,0.2,2.0,260.0,315.47644043,43.6875
9.5,0.0,0.0,2.0,330.0,367.170349121,46.3125
9.2,0.0,0.2,4.0,340.0,400.946624756,49.5
8.9,0.0,0.0,4.0,350.0,401.598358154,50.625
8.7,8.0,0.0,3.0,340.0,408.558837891,51.5625
8.3,41.0,0.0,4.0,350.0,411.029571533,52.3125
8.1,219.0,0.0,3.0,360.0,413.130187988,53.625
8.3,307.0,0.0,3.0,340.0,404.201080322,53.625
8.6,797.0,0.0,3.0,350.0,401.910003662,53.625
8.5,898.0,0.0,3.0,360.0,386.345550537,53.4375
8.1,554.0,0.0,3.0,350.0,369.733856201,52.125
7.9,183.0,0.0,2.0,360.0,402.715881348,53.4375
7.4,0.0,0.0,2.0,350.0,394.930755615,52.875
6.4,0.0,0.0,2.0,360.0,436.928192139,53.8125
6.3,0.0,0.0,1.0,10.0,423.292999268,54.375
4.2,0.0,0.0,1.0,340.0,357.596679688,51.5625
3.3,0.0,0.0,1.0,280.0,363.228240967,48.9375
3.1,0.0,0.0,1.0,270.0,372.850616455,48.1875
2.4,0.0,0.0,2.0,250.0,349.573394775,47.4375
2.5,0.0,0.0,2.0,250.0,308.578521729,44.4375
2.1,0.0,0.0,2.0,240.0,279.852783203,42.1875
1.5,0.0,0.0,1.0,40.0,256.052520752,39.1875
1.7,0.0,0.0,2.0,220.0,252.429595947,38.25
1.5,0.0,0.0,2.0,250.0,266.139221191,36.0
1.7,0.0,0.0,3.0,330.0,295.912261963,36.5625
2.3,0.0,0.0,2.0,220.0,348.866455078,39.0
2.3,0.0,0.2,2.0,250.0,414.792877197,43.6875
2.1,0.0,0.0,3.0,300.0,402.964111328,45.0
2.7,24.0,0.0,2.0,260.0,396.796264648,45.5625
3.0,99.0,0.0,1.0,210.0,419.078704834,47.0625
3.1,216.0,0.0,4.0,290.0,423.289306641,49.3125
2.8,264.0,0.0,4.0,290.0,413.984558105,50.0625
3.3,275.0,0.0,2.0,330.0,413.984558105,50.25
3.3,186.0,0.0,3.0,300.0,380.380157471,50.4375
3.7,251.0,0.0,2.0,330.0,396.399810791,49.3125
3.3,121.0,0.0,4.0,310.0,413.795776367,49.3125
3.2,6.0,0.0,3.0,300.0,490.177337646,53.4375
2.5,0.0,0.0,4.0,320.0,382.063171387,50.0625
2.6,0.0,0.0,5.0,310.0,355.953826904,47.8125
2.2,0.0,0.0,4.0,310.0,305.898406982,45.375
2.2,0.0,0.0,4.0,300.0,282.292510986,43.125
2.3,0.0,0.0,3.0,280.0,262.360076904,40.125
1.8,0.0,0.0,2.0,270.0,252.575012207,39.0
1.7,0.0,0.0,2.0,240.0,242.990005493,36.75
1.3,0.0,0.0,2.0,260.0,286.25,36.0
0.8,0.0,0.0,1.0,280.0,352.759765625,37.875
1.5,0.0,0.0,1.0,250.0,430.360046387,44.0625
1.7,0.0,0.0,1.0,290.0,426.754180908,47.25
2.1,41.0,0.0,1.0,250.0,405.348999023,48.1875
2.9,150.0,0.0,1.0,280.0,407.912475586,49.125
3.8,285.0,0.0,1.0,330.0,416.48828125,49.6875
5.0,891.0,0.0,1.0,10.0,387.157104492,50.0625
5.5,745.0,0.0,1.0,250.0,373.967315674,49.6875
6.3,830.0,0.0,1.0,220.0,383.524475098,49.3125
5.7,487.0,0.0,1.0,240.0,403.522094727,49.6875
4.8,87.0,0.0,2.0,110.0,416.752685547,50.4375
4.2,0.0,0.0,3.0,90.0,455.681152344,52.875
3.8,0.0,0.0,4.0,110.0,473.504211426,55.875
3.1,0.0,0.0,2.0,110.0,456.996398926,55.875
2.2,0.0,0.0,2.0,100.0,411.80291748,54.0
2.5,0.0,0.0,2.0,130.0,364.530944824,51.5625
1.8,0.0,0.0,2.0,110.0,332.401885986,47.8125
1.9,0.0,0.0,2.0,90.0,357.675323486,46.5
2.0,0.0,0.0,3.0,100.0,327.585876465,44.8125
2.1,0.0,0.0,3.0,80.0,305.217651367,42.1875
2.9,0.0,0.0,3.0,90.0,291.194335938,40.5
3.1,0.0,0.0,4.0,80.0,277.404266357,39.9375
3.3,0.0,0.0,5.0,90.0,245.195236206,36.9375
3.5,0.0,0.0,5.0,100.0,241.961380005,35.4375
3.8,0.0,0.0,5.0,100.0,271.512695313,35.25
3.5,0.0,0.2,8.0,110.0,355.371734619,36.5625
3.5,0.0,0.0,7.0,90.0,377.48550415,40.5
3.7,13.0,0.2,7.0,90.0,335.358947754,41.25
4.1,87.0,0.0,7.0,90.0,334.638336182,41.25
4.6,157.0,0.0,7.0,90.0,361.244049072,42.375
4.9,313.0,0.0,8.0,80.0,387.508056641,43.875
5.0,256.0,0.0,10.0,90.0,387.367431641,44.8125
5.0,350.0,0.0,10.0,90.0,392.018005371,45.1875
4.6,221.0,0.0,9.0,90.0,419.288818359,47.0625
4.3,79.0,0.0,10.0,90.0,450.836029053,51.75
4.2,6.0,0.0,9.0,80.0,466.124725342,53.625
4.4,0.0,0.0,8.0,90.0,482.207244873,56.0625
4.0,0.0,0.0,7.0,80.0,406.855316162,52.125
4.1,0.0,0.0,6.0,70.0,401.250488281,51.5625
4.1,0.0,0.0,7.0,60.0,365.278137207,49.5
4.0,0.0,0.0,6.0,50.0,342.771911621,46.875
3.9,0.0,0.0,6.0,50.0,304.600158691,43.3125
3.7,0.0,0.0,6.0,50.0,289.660369873,41.0625
3.5,0.0,0.0,6.0,40.0,266.699310303,38.25
3.1,0.0,0.0,6.0,50.0,255.585266113,36.75
2.8,0.0,0.0,5.0,30.0,258.979370117,35.4375
3.0,0.0,0.0,5.0,30.0,300.502197266,35.4375
2.6,0.0,0.0,5.0,20.0,341.673278809,36.1875
1.9,23.0,0.0,4.0,360.0,313.211700439,39.1875
1.6,159.0,0.0,4.0,360.0,358.349609375,39.375
2.6,325.0,0.0,4.0,360.0,341.52746582,40.5
3.2,508.0,0.0,4.0,360.0,325.555419922,40.6875
3.3,422.0,0.0,5.0,360.0,345.294830322,40.6875
3.2,599.0,0.0,4.0,360.0,347.032623291,40.6875
3.1,561.0,0.0,4.0,350.0,378.112609863,41.4375
2.6,62.0,0.0,4.0,360.0,401.519073486,45.1875
2.4,2.0,0.0,4.0,350.0,363.479827881,45.5625
2.3,0.0,0.0,3.0,350.0,370.0,45.375
2.1,0.0,0.0,2.0,350.0,426.878204346,45.9375
2.2,0.0,0.0,2.0,350.0,361.857727051,46.125
1.8,0.0,0.0,2.0,340.0,361.883636475,44.625
1.5,0.0,0.0,2.0,350.0,371.763122559,44.8125
1.6,0.0,0.0,2.0,330.0,363.047546387,44.8125
1.5,0.0,0.0,3.0,310.0,338.695220947,43.6875
1.0,0.0,0.0,2.0,310.0,328.635925293,42.5625
0.6,0.0,0.0,1.0,300.0,308.23147583,41.0625
1.1,0.0,0.0,1.0,280.0,305.984588623,39.9375
1.3,0.0,0.0,2.0,220.0,313.875091553,39.1875
0.7,0.0,0.0,2.0,230.0,341.243713379,39.1875
0.1,0.0,0.0,2.0,200.0,398.061706543,40.875
-0.1,0.0,0.0,3.0,180.0,442.120697021,44.25
0.1,0.0,0.0,3.0,180.0,487.0418396,49.875
0.3,31.0,0.0,3.0,170.0,537.98815918,55.6875
2.5,0.0,0.0,6.0,300.0,425.589660645,53.625
2.4,0.0,0.0,6.0,290.0,410.898895264,52.6875
2.5,0.0,0.0,7.0,290.0,367.848480225,48.75
2.4,0.0,0.0,8.0,300.0,341.895568848,45.75
2.5,0.0,0.0,9.0,300.0,330.955047607,42.9375
2.4,0.0,0.0,9.0,320.0,303.245452881,41.25
2.1,0.0,0.0,7.0,330.0,294.894714355,38.25
1.8,0.0,0.0,7.0,340.0,341.533752441,38.0625
1.9,0.0,0.0,6.0,340.0,381.854034424,40.3125
1.7,0.0,0.0,4.0,350.0,395.798736572,43.5
1.4,0.0,0.0,4.0,340.0,424.498321533,44.4375
1.5,42.0,0.0,4.0,330.0,431.747894287,46.3125
1.7,122.0,0.0,4.0,330.0,461.013244629,49.5
2.2,225.0,0.0,5.0,330.0,503.180908203,54.375
1.8,192.0,0.0,4.0,330.0,500.115600586,56.25
0.0,0.0,0.0,1.0,350.0,372.776733398,48.75
-0.8,0.0,0.0,2.0,50.0,340.020690918,45.5625
-0.9,0.0,0.0,2.0,30.0,349.455505371,43.875
-1.3,0.0,0.0,3.0,40.0,335.608123779,42.0
-1.6,0.0,0.0,3.0,70.0,368.953338623,40.875
-1.5,0.0,0.0,4.0,90.0,409.250946045,42.375
-1.0,0.0,0.0,2.0,50.0,409.479949951,43.6875
-1.4,0.0,0.0,1.0,10.0,427.896392822,45.5625
-1.4,33.0,0.0,3.0,50.0,429.26763916,46.875
-0.7,139.0,0.0,3.0,30.0,426.299468994,47.8125
0.1,309.0,0.0,2.0,10.0,446.320007324,48.375
0.5,661.0,0.0,2.0,20.0,437.794555664,49.125
0.8,938.0,0.0,3.0,350.0,432.475158691,49.3125
0.6,777.0,0.0,3.0,340.0,430.654022217,49.3125
0.6,355.0,0.0,3.0,360.0,462.353027344,49.6875
0.6,213.0,0.0,2.0,350.0,465.366119385,51.1875
0.2,13.0,0.0,2.0,360.0,503.163818359,55.125
-0.4,0.0,0.0,1.0,60.0,444.802001953,51.375
-1.1,0.0,0.0,1.0,330.0,468.602050781,51.5625
-1.3,0.0,0.0,1.0,330.0,438.409759521,51.1875
-0.7,0.0,0.0,1.0,300.0,436.491699219,51.0
-1.2,0.0,0.0,1.0,260.0,400.673736572,48.9375
-1.8,0.0,0.0,1.0,150.0,405.347564697,48.0
-2.1,0.0,0.0,1.0,210.0,403.19039917,46.6875
-2.3,0.0,0.0,1.0,150.0,429.698303223,47.0625
-3.0,0.0,0.0,1.0,180.0,449.183288574,47.25
-3.1,0.0,0.0,1.0,210.0,464.238708496,48.9375
-3.1,0.0,0.0,1.0,90.0,479.731781006,50.4375
-2.8,99.0,0.0,1.0,280.0,466.04888916,51.0
-1.9,616.0,0.0,2.0,110.0,484.49230957,53.4375
2.1,825.0,0.0,2.0,120.0,478.867889404,53.625
3.1,1179.0,0.2,1.0,180.0,465.213745117,54.0
2.9,759.0,0.0,2.0,150.0,472.944580078,55.125
3.1,266.0,0.0,2.0,130.0,477.501647949,55.3125
3.0,115.0,0.0,1.0,120.0,501.638336182,56.4375
1.3,0.0,0.0,2.0,90.0,381.612518311,49.5
1.2,0.0,0.0,2.0,90.0,392.10369873,48.5625
0.9,0.0,0.0,2.0,90.0,393.22833252,46.5
0.6,0.0,0.0,2.0,90.0,389.2159729,45.75
0.0,0.0,0.0,2.0,90.0,400.49041748,45.0
-0.6,0.0,0.0,2.0,90.0,453.763763428,48.375
-1.2,0.0,0.0,2.0,90.0,500.111328125,50.8125
-1.4,0.0,0.0,2.0,90.0,466.933135986,50.8125
-1.2,175.0,0.0,8.0,100.0,502.058258057,51.75
-1.2,83.0,0.0,9.0,100.0,481.589569092,53.625
-0.9,13.0,0.0,8.0,100.0,492.989929199,53.4375
-0.9,0.0,0.0,7.0,100.0,471.281494141,53.625
-0.6,0.0,0.0,6.0,90.0,465.041992188,52.125
-0.3,0.0,0.0,7.0,90.0,466.40246582,52.6875
-0.2,0.0,0.0,7.0,90.0,444.69442749,52.5
-0.3,0.0,0.0,8.0,90.0,432.641326904,50.625
-0.2,0.0,0.0,7.0,90.0,421.29498291,51.5625
-0.3,0.0,0.0,6.0,80.0,396.547607422,48.9375
-0.1,0.0,0.0,6.0,80.0,362.274169922,47.25
0.0,0.0,0.0,6.0,80.0,328.619873047,44.625
0.2,0.0,0.0,6.0,80.0,318.090606689,42.5625
0.3,0.0,0.0,6.0,80.0,301.16506958,39.75
0.6,0.0,0.0,6.0,90.0,314.555725098,38.8125
0.6,0.0,0.0,6.0,100.0,333.888092041,39.0
0.7,0.0,0.0,4.0,100.0,375.582885742,39.1875
0.9,0.0,0.0,5.0,90.0,388.074157715,41.625
1.1,5.0,0.0,4.0,60.0,420.60458374,43.875
1.0,19.0,0.0,4.0,40.0,432.797943115,46.6875
1.2,54.0,0.0,5.0,40.0,437.198547363,47.8125
1.2,91.0,0.2,6.0,40.0,459.797851563,50.25
1.3,97.0,0.2,6.0,50.0,458.382019043,51.375
1.1,117.0,0.4,7.0,50.0,456.551696777,51.5625
0.9,100.0,0.2,7.0,50.0,450.667907715,51.5625
